student_id,skills,interests,willingness,work_calendar
30,"Social Media, Marketing",animal welfare,high,"Wed,Tue,Thu,Sun"
31,"Social Media, Marketing",community outreach,medium,"Thu,Sat"
32,"Social Media, Marketing",animal welfare,medium,"Mon,Sun,Thu"
33,"Environmental, Research",conservation,high,"Wed,Sun,Tue,Thu"
34,"Python, C++",tech development,low,"Sat,Wed,Mon"
35,"Public Speaking, Teaching",community service,medium,"Wed,Tue,Thu,Sat,Fri"
36,"Public Speaking, Teaching",mentoring,medium,"Mon,Sat"
37,"Environmental, Research",scientific studies,low,"Tue,Sat,Fri,Sun,Mon"
38,"Environmental, Research",data analysis,low,"Mon,Sun,Wed,Sat"
39,"Python, C++",robotics,low,"Fri,Thu,Sun,Mon"
40,"Environmental, Research",conservation,high,"Wed,Fri,Mon,Sun,Thu"
41,"Public Speaking, Teaching",youth education,medium,"Fri,Wed,Mon"
42,"Python, C++",robotics,high,"Sun,Tue,Mon"
43,"Python, C++",tech development,medium,"Thu,Mon,Sun,Wed,Tue"
44,"Social Media, Marketing",community outreach,medium,"Fri,Tue,Sat,Sun,Mon"
45,"Social Media, Marketing",animal welfare,low,"Thu,Tue"
46,"Public Speaking, Teaching",mentoring,low,"Sun,Thu,Tue,Mon,Sat"
47,"Python, C++",tech development,high,"Sun,Wed,Sat,Mon"
48,"Python, C++",tech development,high,"Wed,Sat"
49,"Social Media, Marketing",fundraising,high,"Tue,Sat"
50,"Python, C++",tech development,low,"Sun,Fri,Mon"
51,"Python, C++",tech development,low,"Thu,Mon,Tue"
52,"Public Speaking, Teaching",mentoring,medium,"Tue,Mon,Fri,Thu,Wed"
53,"Python, C++",robotics,low,"Thu,Fri,Sat,Wed"
54,"Public Speaking, Teaching",community service,medium,"Thu,Tue"
55,"Environmental, Research",data analysis,medium,"Thu,Mon,Fri,Tue,Sat"
56,"Python, C++",tech development,medium,"Sat,Wed,Tue,Fri"
57,"Social Media, Marketing",community outreach,medium,"Wed,Sun,Mon,Thu,Sat"
58,"Environmental, Research",data analysis,low,"Tue,Thu"
59,"Environmental, Research",data analysis,high,"Tue,Mon"
60,"Environmental, Research",data analysis,medium,"Thu,Sun,Fri,Mon"
61,"Python, C++",robotics,low,"Thu,Tue,Fri,Mon,Sat"
62,"Public Speaking, Teaching",community service,high,"Thu,Wed"
63,"Environmental, Research",scientific studies,medium,"Mon,Fri,Tue,Sun,Wed"
64,"Public Speaking, Teaching",community service,low,"Wed,Sat,Mon"
65,"Public Speaking, Teaching",mentoring,medium,"Sun,Fri,Sat,Wed,Thu"
66,"Social Media, Marketing",community outreach,low,"Fri,Sun,Mon,Tue"
67,"Environmental, Research",data analysis,low,"Fri,Tue,Thu"
68,"Python, C++",robotics,medium,"Wed,Sat,Fri"
69,"Environmental, Research",scientific studies,high,"Wed,Sun"
70,"Public Speaking, Teaching",mentoring,low,"Thu,Mon,Sun,Sat,Wed"
71,"Public Speaking, Teaching",community service,medium,"Thu,Mon"
72,"Social Media, Marketing",animal welfare,medium,"Wed,Mon,Fri,Tue,Sun"
73,"Social Media, Marketing",fundraising,high,"Sat,Mon,Thu"
74,"Public Speaking, Teaching",youth education,medium,"Tue,Mon,Wed,Fri"
75,"Public Speaking, Teaching",mentoring,high,"Thu,Sat,Tue,Mon"
76,"Public Speaking, Teaching",mentoring,high,"Fri,Mon,Sat,Wed,Thu"
77,"Social Media, Marketing",animal welfare,medium,"Sat,Tue,Thu,Fri,Wed"
78,"Environmental, Research",conservation,medium,"Thu,Sat,Mon,Tue,Fri"
79,"Environmental, Research",data analysis,high,"Mon,Sun,Thu,Wed,Fri"
80,"Environmental, Research",scientific studies,low,"Mon,Fri"
81,"Social Media, Marketing",fundraising,high,"Thu,Sun,Fri"
82,"Python, C++",youth education,low,"Wed,Thu,Fri"
83,"Social Media, Marketing",animal welfare,low,"Fri,Sat,Tue"
84,"Public Speaking, Teaching",mentoring,medium,"Tue,Wed,Mon,Sun,Thu"
85,"Public Speaking, Teaching",community service,low,"Thu,Fri,Tue,Mon"
86,"Public Speaking, Teaching",community service,medium,"Thu,Mon,Tue,Wed"
87,"Public Speaking, Teaching",mentoring,low,"Tue,Mon"
88,"Environmental, Research",conservation,low,"Wed,Mon,Tue,Sat,Fri"
89,"Environmental, Research",data analysis,low,"Fri,Tue,Sun,Mon"
90,"Public Speaking, Teaching",mentoring,low,"Tue,Sat"
91,"Public Speaking, Teaching",community service,medium,"Wed,Sun,Sat"
92,"Environmental, Research",data analysis,low,"Wed,Tue,Sun,Fri"
93,"Environmental, Research",data analysis,low,"Mon,Wed,Sun,Fri,Thu"
94,"Social Media, Marketing",animal welfare,high,"Wed,Sun,Fri"
95,"Environmental, Research",scientific studies,low,"Sun,Wed,Mon"
96,"Social Media, Marketing",animal welfare,low,"Fri,Wed,Tue,Sun,Mon"
97,"Python, C++",tech development,medium,"Wed,Sat,Thu,Sun"
98,"Public Speaking, Teaching",community service,low,"Wed,Sun,Thu"
99,"Social Media, Marketing",fundraising,high,"Tue,Wed,Mon,Sat,Thu"
